id,question,optionA,optionB,optionC,optionD,answerLetter,answerText,category,difficulty,source,explanation
TH170626-001,At whose request did the Centre block Telegram in India until Monday?,National Testing Agency (NTA),Union Public Service Commission,CBSE,Election Commission of India,A,National Testing Agency (NTA),National,Easy,Page 1,The report says the Centre acted at the NTA's request before the NEET (UG) 2026 re-examination.
TH170626-002,Why did the NTA say Telegram was being blocked temporarily?,To reduce mobile data traffic,To control election advertising,To stop organised cheating rackets defrauding NEET candidates,To test a new social media law,C,To stop organised cheating rackets defrauding NEET candidates,National,Easy,Page 1,The NTA described the move as a response to organised use of the platform by cheating rackets.
TH170626-003,The NEET (UG) 2026 re-examination mentioned in the report was scheduled for which date?,"June 21, 2026","June 30, 2026","May 3, 2026","July 1, 2026",A,"June 21, 2026",National,Easy,Page 1,The story states the re-examination was scheduled on 21 June 2026.
TH170626-004,Telegram founder Pavel Durov said the temporary block would punish approximately how many ordinary Telegram users in India?,Over 1 crore,Over 50 lakh,Over 5 crore,Over 15 crore,D,Over 15 crore,National,Medium,Page 1,"Durov criticised the block, saying it punished over 15 crore ordinary users in India."
TH170626-005,Which Telegram feature was ordered to be disabled until June 30 to prevent fabricated backdated claims?,Profile photos,Message editing,Poll creation,Voice calls,B,Message editing,National,Medium,Page 1,The IT Ministry ordered Telegram to disable message editing until June 30.
TH170626-006,"Which body under the Ministry of Home Affairs helped secure takedowns of Telegram channels, groups and bots?",Indian Cyber Crime Coordination Centre (I4C),National Investigation Agency,Bureau of Civil Aviation Security,National Disaster Management Authority,A,Indian Cyber Crime Coordination Centre (I4C),National,Medium,Page 1,The article says I4C coordinated with inputs from NTA and State law-enforcement agencies.
TH170626-007,Who was quoted in a video message asking parents to protect children from financial fraud and panic over NEET scams?,Education Minister Dharmendra Pradhan,Telegram founder Pavel Durov,Home Minister Amit Shah,NTA Director-General Abhishek Singh,D,NTA Director-General Abhishek Singh,National,Medium,Page 1,NTA Director-General Abhishek Singh appealed to parents in the video message.
TH170626-008,What was India's nationwide monsoon deficit as rain clouds had still not reached Mumbai?,5%,61%,35%,14%,C,35%,Environment,Easy,Page 1,The main report states India's nationwide monsoon deficit was 35% as of Tuesday.
TH170626-009,Which region faced a 61% rainfall deficit in the monsoon report?,Central India,East and Northeast India,Northwest India,Southern Peninsula,A,Central India,Environment,Easy,Page 1,Central India was reported to be 61% below normal rainfall.
TH170626-010,Which region had received 5% more rain than normal at that stage of the monsoon?,Central India,Northwest India,Southern Peninsula,Konkan Coast,B,Northwest India,Environment,Medium,Page 1,IMD statistics showed northwest India was 5% above normal.
TH170626-011,"According to the report, when did the monsoon set in over Kerala in 2026?",June 4,June 1,May 25,June 11,A,June 4,Environment,Medium,Page 1,"The monsoon set in over Kerala on June 4, three days behind the normal date."
TH170626-012,What atmospheric condition north of Mumbai was cited as one reason the monsoon had not established itself there?,Tropical cyclone from Arabian Sea,Anticyclonic circulation,Western Disturbance snowfall,Cyclonic storm landfall,B,Anticyclonic circulation,Environment,Hard,Page 1,"The report cites an anticyclonic circulation to Mumbai's north, along with a westerly push."
TH170626-013,What did the Union government order as part of kharif preparation amid low rainfall?,Immediate ban on rice cultivation,Crop-wise contingency plans in low-rainfall districts,Closure of all reservoirs,Nationalisation of fertiliser stocks,B,Crop-wise contingency plans in low-rainfall districts,Agriculture,Medium,Page 1,States were directed to identify low-rainfall districts and prepare crop-wise contingency plans.
TH170626-014,Which crops was the government encouraging a shift towards amid El Nino concerns?,Cotton and pulses,Wheat and barley,Tea and coffee,Sugarcane and paddy,A,Cotton and pulses,Agriculture,Medium,Page 1,The report said the government was encouraging a shift towards cotton and pulses.
TH170626-015,"What was reservoir storage stated to be in May, compared with 25.1% average in previous El Nino years?",55.1% of capacity,30.4% of capacity,10.4% of capacity,75.0% of capacity,B,30.4% of capacity,Environment,Hard,Page 1,Reservoir storage was put at 30.4% of capacity in May.
TH170626-016,The U.S. NOAA advisory placed the odds of El Nino becoming 'very strong' by winter at what percentage?,80%,63%,92%,35%,B,63%,Environment,Hard,Page 1,NOAA placed the odds of a very strong El Nino by winter at 63%.
TH170626-017,What did Prime Minister Narendra Modi call the most important strategic asset at the G7 session?,Oil reserves,Military power,Mutual trust,Artificial intelligence,C,Mutual trust,International Relations,Easy,Page 1,Mr. Modi said mutual trust is the most important strategic asset today.
TH170626-018,What was the theme of the G7 session attended by Prime Minister Modi?,Digital India and AI Cooperation,Forging New Partnerships and Rebuilding International Solidarity,Future of Cricket Diplomacy,Global Energy Transition Only,B,Forging New Partnerships and Rebuilding International Solidarity,International Relations,Medium,Page 1,The session was titled 'Forging New Partnerships and Rebuilding International Solidarity'.
TH170626-019,Which of the following was listed as a partner country in the G7 discussions along with India?,Pakistan,Iran,Russia,Kenya,D,Kenya,International Relations,Medium,Page 1,"Brazil, Egypt, Kenya and South Korea were among the partner countries."
TH170626-020,India did not sign a communique on restructuring which ecosystem at the G7 session?,Development finance ecosystem,FIFA World Cup bidding system,Oil tanker insurance system,Global cricket calendar,A,Development finance ecosystem,International Relations,Hard,Page 1,India did not join the communique on restructuring the development finance ecosystem.
TH170626-021,"Under Tamil Nadu's revised crop loan waiver, loans up to what amount from cooperative banks would be fully waived?","₹50,000","₹75,000","₹35,000","₹1,50,000",B,"₹75,000",States,Easy,Page 2,"Loans up to ₹75,000 would be fully waived under the revised scheme."
TH170626-022,"For crop loans above ₹75,000, what waiver amount was announced?","₹75,000",₹1 lakh,No waiver,"₹35,000",D,"₹35,000",States,Easy,Page 2,"Loans above ₹75,000 would receive a waiver of ₹35,000."
TH170626-023,How many farmers were expected to benefit from Tamil Nadu's revised crop loan waiver scheme?,14.43 lakh,1.43 crore,5 lakh,"50,000",A,14.43 lakh,States,Medium,Page 2,The official release said the scheme would benefit 14.43 lakh farmers.
TH170626-024,What was the estimated government expenditure for the Tamil Nadu crop loan waiver scheme?,"₹75,000 crore","₹35,000 crore","₹5,932.23 crore",₹592.23 crore,C,"₹5,932.23 crore",States,Hard,Page 2,"The government expenditure was estimated at ₹5,932.23 crore."
TH170626-025,The sealing drive against illegal B&B facilities in Delhi followed a fire in which area?,Jasola Vihar,Jangpura,Saket,Hauz Rani,D,Hauz Rani,States,Easy,Page 2,The sealing drive followed the June 3 Hauz Rani fire.
TH170626-026,How many lives were claimed by the Hauz Rani fire mentioned in the Delhi B&B report?,198,705,12,23,D,23,States,Medium,Page 2,The June 3 Hauz Rani fire claimed 23 lives.
TH170626-027,How many properties had been inspected across Delhi's 13 revenue districts since June 5?,705,198,212,13,A,705,States,Hard,Page 2,Government data said 705 properties in 13 revenue districts had been inspected.
TH170626-028,"Accommodation near a major private hospital in Jasola Vihar typically cost how much per day, according to the report?",₹100 to ₹300,"₹5,000 to ₹10,000","₹900 to ₹2,000",₹50 to ₹80,C,"₹900 to ₹2,000",States,Medium,Page 2,"The report gave a range of ₹900 to ₹2,000 a day for such accommodation."
TH170626-029,Which State planned to create an 'outbreak calendar' to map seasonal and regional disease patterns?,Kerala,Tamil Nadu,Karnataka,Odisha,A,Kerala,Health,Easy,Page 3,Kerala's Health Minister said the State would create an outbreak calendar.
TH170626-030,Kerala's outbreak calendar report mentioned Nipah cases repeatedly appearing in which region between May and September?,Jasola Vihar in Delhi,Viralimalai in Tamil Nadu,Kurseong in West Bengal,Perambra in Kozhikode,D,Perambra in Kozhikode,Health,Medium,Page 3,Nipah cases were noted as repeatedly reported in the Perambra region of Kozhikode.
TH170626-031,Andhra Pradesh Chief Minister N. Chandrababu Naidu said farmers had voluntarily parted with nearly how much land for Amaravati?,"3,500 acres",1 lakh acres,500 acres,"35,000 acres",D,"35,000 acres",States,Medium,Page 3,"He said farmers had voluntarily parted with nearly 35,000 acres of land."
TH170626-032,The Karnataka High Court said criminal law cannot become a weapon of oppression in aid of what?,A monsoon forecast,An export promotion scheme,A sports selection debate,A civil contest,D,A civil contest,Law,Medium,Page 3,The court warned against using criminal prosecution as a weapon in a civil dispute.
TH170626-033,Which ship's sinking off the Alappuzha coast raised Kerala High Court concerns over environmental impact assessment?,MT Celestial Sea,Umm Al Ashtan,Marigold,MSC Elsa 3,D,MSC Elsa 3,Environment,Medium,Page 3,The court sought responses on the ecological impact of the sinking of MSC Elsa 3.
